seat_id, auditorium_id, row_position, column_position
SEAT-A01, AUD01, 00, 01
SEAT-A02, AUD01, 00, 02
SEAT-A03, AUD01, 00, 03
SEAT-A04, AUD01, 00, 04
SEAT-A05, AUD01, 00, 05
SEAT-A06, AUD01, 00, 06
SEAT-A07, AUD01, 00, 07
SEAT-A08, AUD01, 00, 08
SEAT-A09, AUD01, 00, 09
SEAT-A10, AUD01, 00, 10
SEAT-B01, AUD01, 01, 01
SEAT-B02, AUD01, 01, 02
SEAT-B03, AUD01, 01, 03
SEAT-B04, AUD01, 01, 04
SEAT-B05, AUD01, 01, 05
SEAT-B06, AUD01, 01, 06
SEAT-B07, AUD01, 01, 07
SEAT-B08, AUD01, 01, 08
SEAT-B09, AUD01, 01, 09
SEAT-B10, AUD01, 01, 10
SEAT-C01, AUD01, 02, 01
SEAT-C02, AUD01, 02, 02
SEAT-C03, AUD01, 02, 03
SEAT-C04, AUD01, 02, 04
SEAT-C05, AUD01, 02, 05
SEAT-C06, AUD01, 02, 06
SEAT-C07, AUD01, 02, 07
SEAT-C08, AUD01, 02, 08
SEAT-C09, AUD01, 02, 09
SEAT-C10, AUD01, 02, 10
SEAT-D01, AUD01, 03, 01
SEAT-D02, AUD01, 03, 02
SEAT-D03, AUD01, 03, 03
SEAT-D04, AUD01, 03, 04
SEAT-D05, AUD01, 03, 05
SEAT-D06, AUD01, 03, 06
SEAT-D07, AUD01, 03, 07
SEAT-D08, AUD01, 03, 08
SEAT-D09, AUD01, 03, 09
SEAT-D10, AUD01, 03, 10
SEAT-E01, AUD01, 04, 01
SEAT-E02, AUD01, 04, 02
SEAT-E03, AUD01, 04, 03
SEAT-E04, AUD01, 04, 04
SEAT-E05, AUD01, 04, 05
SEAT-E06, AUD01, 04, 06
SEAT-E07, AUD01, 04, 07
SEAT-E08, AUD01, 04, 08
SEAT-E09, AUD01, 04, 09
SEAT-E10, AUD01, 04, 10
SEAT-F01, AUD01, 05, 01
SEAT-F02, AUD01, 05, 02
SEAT-F03, AUD01, 05, 03
SEAT-F04, AUD01, 05, 04
SEAT-F05, AUD01, 05, 05
SEAT-F06, AUD01, 05, 06
SEAT-F07, AUD01, 05, 07
SEAT-F08, AUD01, 05, 08
SEAT-F09, AUD01, 05, 09
SEAT-F10, AUD01, 05, 10
SEAT-G01, AUD01, 06, 01
SEAT-G02, AUD01, 06, 02
SEAT-G03, AUD01, 06, 03
SEAT-G04, AUD01, 06, 04
SEAT-G05, AUD01, 06, 05
SEAT-G06, AUD01, 06, 06
SEAT-G07, AUD01, 06, 07
SEAT-G08, AUD01, 06, 08
SEAT-G09, AUD01, 06, 09
SEAT-G10, AUD01, 06, 10
SEAT-H01, AUD01, 07, 01
SEAT-H02, AUD01, 07, 02
SEAT-H03, AUD01, 07, 03
SEAT-H04, AUD01, 07, 04
SEAT-H05, AUD01, 07, 05
SEAT-H06, AUD01, 07, 06
SEAT-H07, AUD01, 07, 07
SEAT-H08, AUD01, 07, 08
SEAT-H09, AUD01, 07, 09
SEAT-H10, AUD01, 07, 10
SEAT-A01, AUD02, 00, 01
SEAT-A02, AUD02, 00, 02
SEAT-A03, AUD02, 00, 03
SEAT-A04, AUD02, 00, 04
SEAT-A05, AUD02, 00, 05
SEAT-A06, AUD02, 00, 06
SEAT-A07, AUD02, 00, 07
SEAT-A08, AUD02, 00, 08
SEAT-A09, AUD02, 00, 09
SEAT-A10, AUD02, 00, 10
SEAT-A11, AUD02, 00, 11
SEAT-A12, AUD02, 00, 12
SEAT-B01, AUD02, 01, 01
SEAT-B02, AUD02, 01, 02
SEAT-B03, AUD02, 01, 03
SEAT-B04, AUD02, 01, 04
SEAT-B05, AUD02, 01, 05
SEAT-B06, AUD02, 01, 06
SEAT-B07, AUD02, 01, 07
SEAT-B08, AUD02, 01, 08
SEAT-B09, AUD02, 01, 09
SEAT-B10, AUD02, 01, 10
SEAT-B11, AUD02, 01, 11
SEAT-B12, AUD02, 01, 12
SEAT-C01, AUD02, 02, 01
SEAT-C02, AUD02, 02, 02
SEAT-C03, AUD02, 02, 03
SEAT-C04, AUD02, 02, 04
SEAT-C05, AUD02, 02, 05
SEAT-C06, AUD02, 02, 06
SEAT-C07, AUD02, 02, 07
SEAT-C08, AUD02, 02, 08
SEAT-C09, AUD02, 02, 09
SEAT-C10, AUD02, 02, 10
SEAT-C11, AUD02, 02, 11
SEAT-C12, AUD02, 02, 12
SEAT-D01, AUD02, 03, 01
SEAT-D02, AUD02, 03, 02
SEAT-D03, AUD02, 03, 03
SEAT-D04, AUD02, 03, 04
SEAT-D05, AUD02, 03, 05
SEAT-D06, AUD02, 03, 06
SEAT-D07, AUD02, 03, 07
SEAT-D08, AUD02, 03, 08
SEAT-D09, AUD02, 03, 09
SEAT-D10, AUD02, 03, 10
SEAT-D11, AUD02, 03, 11
SEAT-D12, AUD02, 03, 12
SEAT-E01, AUD02, 04, 01
SEAT-E02, AUD02, 04, 02
SEAT-E03, AUD02, 04, 03
SEAT-E04, AUD02, 04, 04
SEAT-E05, AUD02, 04, 05
SEAT-E06, AUD02, 04, 06
SEAT-E07, AUD02, 04, 07
SEAT-E08, AUD02, 04, 08
SEAT-E09, AUD02, 04, 09
SEAT-E10, AUD02, 04, 10
SEAT-E11, AUD02, 04, 11
SEAT-E12, AUD02, 04, 12
SEAT-F01, AUD02, 05, 01
SEAT-F02, AUD02, 05, 02
SEAT-F03, AUD02, 05, 03
SEAT-F04, AUD02, 05, 04
SEAT-F05, AUD02, 05, 05
SEAT-F06, AUD02, 05, 06
SEAT-F07, AUD02, 05, 07
SEAT-F08, AUD02, 05, 08
SEAT-F09, AUD02, 05, 09
SEAT-F10, AUD02, 05, 10
SEAT-F11, AUD02, 05, 11
SEAT-F12, AUD02, 05, 12
SEAT-G01, AUD02, 06, 01
SEAT-G02, AUD02, 06, 02
SEAT-G03, AUD02, 06, 03
SEAT-G04, AUD02, 06, 04
SEAT-G05, AUD02, 06, 05
SEAT-G06, AUD02, 06, 06
SEAT-G07, AUD02, 06, 07
SEAT-G08, AUD02, 06, 08
SEAT-G09, AUD02, 06, 09
SEAT-G10, AUD02, 06, 10
SEAT-G11, AUD02, 06, 11
SEAT-G12, AUD02, 06, 12
SEAT-H01, AUD02, 07, 01
SEAT-H02, AUD02, 07, 02
SEAT-H03, AUD02, 07, 03
SEAT-H04, AUD02, 07, 04
SEAT-H05, AUD02, 07, 05
SEAT-H06, AUD02, 07, 06
SEAT-H07, AUD02, 07, 07
SEAT-H08, AUD02, 07, 08
SEAT-H09, AUD02, 07, 09
SEAT-H10, AUD02, 07, 10
SEAT-H11, AUD02, 07, 11
SEAT-H12, AUD02, 07, 12
SEAT-I01, AUD02, 08, 01
SEAT-I02, AUD02, 08, 02
SEAT-I03, AUD02, 08, 03
SEAT-I04, AUD02, 08, 04
SEAT-I05, AUD02, 08, 05
SEAT-I06, AUD02, 08, 06
SEAT-I07, AUD02, 08, 07
SEAT-I08, AUD02, 08, 08
SEAT-I09, AUD02, 08, 09
SEAT-I10, AUD02, 08, 10
SEAT-I11, AUD02, 08, 11
SEAT-I12, AUD02, 08, 12
SEAT-A01, AUD03, 00, 01
SEAT-A02, AUD03, 00, 02
SEAT-A03, AUD03, 00, 03
SEAT-A04, AUD03, 00, 04
SEAT-A05, AUD03, 00, 05
SEAT-A06, AUD03, 00, 06
SEAT-A07, AUD03, 00, 07
SEAT-A08, AUD03, 00, 08
SEAT-A09, AUD03, 00, 09
SEAT-A10, AUD03, 00, 10
SEAT-A11, AUD03, 00, 11
SEAT-A12, AUD03, 00, 12
SEAT-A13, AUD03, 00, 13
SEAT-A14, AUD03, 00, 14
SEAT-B01, AUD03, 01, 01
SEAT-B02, AUD03, 01, 02
SEAT-B03, AUD03, 01, 03
SEAT-B04, AUD03, 01, 04
SEAT-B05, AUD03, 01, 05
SEAT-B06, AUD03, 01, 06
SEAT-B07, AUD03, 01, 07
SEAT-B08, AUD03, 01, 08
SEAT-B09, AUD03, 01, 09
SEAT-B10, AUD03, 01, 10
SEAT-B11, AUD03, 01, 11
SEAT-B12, AUD03, 01, 12
SEAT-B13, AUD03, 01, 13
SEAT-B14, AUD03, 01, 14
SEAT-C01, AUD03, 02, 01
SEAT-C02, AUD03, 02, 02
SEAT-C03, AUD03, 02, 03
SEAT-C04, AUD03, 02, 04
SEAT-C05, AUD03, 02, 05
SEAT-C06, AUD03, 02, 06
SEAT-C07, AUD03, 02, 07
SEAT-C08, AUD03, 02, 08
SEAT-C09, AUD03, 02, 09
SEAT-C10, AUD03, 02, 10
SEAT-C11, AUD03, 02, 11
SEAT-C12, AUD03, 02, 12
SEAT-C13, AUD03, 02, 13
SEAT-C14, AUD03, 02, 14
SEAT-D01, AUD03, 03, 01
SEAT-D02, AUD03, 03, 02
SEAT-D03, AUD03, 03, 03
SEAT-D04, AUD03, 03, 04
SEAT-D05, AUD03, 03, 05
SEAT-D06, AUD03, 03, 06
SEAT-D07, AUD03, 03, 07
SEAT-D08, AUD03, 03, 08
SEAT-D09, AUD03, 03, 09
SEAT-D10, AUD03, 03, 10
SEAT-D11, AUD03, 03, 11
SEAT-D12, AUD03, 03, 12
SEAT-D13, AUD03, 03, 13
SEAT-D14, AUD03, 03, 14
SEAT-E01, AUD03, 04, 01
SEAT-E02, AUD03, 04, 02
SEAT-E03, AUD03, 04, 03
SEAT-E04, AUD03, 04, 04
SEAT-E05, AUD03, 04, 05
SEAT-E06, AUD03, 04, 06
SEAT-E07, AUD03, 04, 07
SEAT-E08, AUD03, 04, 08
SEAT-E09, AUD03, 04, 09
SEAT-E10, AUD03, 04, 10
SEAT-E11, AUD03, 04, 11
SEAT-E12, AUD03, 04, 12
SEAT-E13, AUD03, 04, 13
SEAT-E14, AUD03, 04, 14
SEAT-F01, AUD03, 05, 01
SEAT-F02, AUD03, 05, 02
SEAT-F03, AUD03, 05, 03
SEAT-F04, AUD03, 05, 04
SEAT-F05, AUD03, 05, 05
SEAT-F06, AUD03, 05, 06
SEAT-F07, AUD03, 05, 07
SEAT-F08, AUD03, 05, 08
SEAT-F09, AUD03, 05, 09
SEAT-F10, AUD03, 05, 10
SEAT-F11, AUD03, 05, 11
SEAT-F12, AUD03, 05, 12
SEAT-F13, AUD03, 05, 13
SEAT-F14, AUD03, 05, 14
SEAT-G01, AUD03, 06, 01
SEAT-G02, AUD03, 06, 02
SEAT-G03, AUD03, 06, 03
SEAT-G04, AUD03, 06, 04
SEAT-G05, AUD03, 06, 05
SEAT-G06, AUD03, 06, 06
SEAT-G07, AUD03, 06, 07
SEAT-G08, AUD03, 06, 08
SEAT-G09, AUD03, 06, 09
SEAT-G10, AUD03, 06, 10
SEAT-G11, AUD03, 06, 11
SEAT-G12, AUD03, 06, 12
SEAT-G13, AUD03, 06, 13
SEAT-G14, AUD03, 06, 14
SEAT-H01, AUD03, 07, 01
SEAT-H02, AUD03, 07, 02
SEAT-H03, AUD03, 07, 03
SEAT-H04, AUD03, 07, 04
SEAT-H05, AUD03, 07, 05
SEAT-H06, AUD03, 07, 06
SEAT-H07, AUD03, 07, 07
SEAT-H08, AUD03, 07, 08
SEAT-H09, AUD03, 07, 09
SEAT-H10, AUD03, 07, 10
SEAT-H11, AUD03, 07, 11
SEAT-H12, AUD03, 07, 12
SEAT-H13, AUD03, 07, 13
SEAT-H14, AUD03, 07, 14
SEAT-I01, AUD03, 08, 01
SEAT-I02, AUD03, 08, 02
SEAT-I03, AUD03, 08, 03
SEAT-I04, AUD03, 08, 04
SEAT-I05, AUD03, 08, 05
SEAT-I06, AUD03, 08, 06
SEAT-I07, AUD03, 08, 07
SEAT-I08, AUD03, 08, 08
SEAT-I09, AUD03, 08, 09
SEAT-I10, AUD03, 08, 10
SEAT-I11, AUD03, 08, 11
SEAT-I12, AUD03, 08, 12
SEAT-I13, AUD03, 08, 13
SEAT-I14, AUD03, 08, 14
SEAT-J01, AUD03, 09, 01
SEAT-J02, AUD03, 09, 02
SEAT-J03, AUD03, 09, 03
SEAT-J04, AUD03, 09, 04
SEAT-J05, AUD03, 09, 05
SEAT-J06, AUD03, 09, 06
SEAT-J07, AUD03, 09, 07
SEAT-J08, AUD03, 09, 08
SEAT-J09, AUD03, 09, 09
SEAT-J10, AUD03, 09, 10
SEAT-J11, AUD03, 09, 11
SEAT-J12, AUD03, 09, 12
SEAT-J13, AUD03, 09, 13
SEAT-J14, AUD03, 09, 14
SEAT-K01, AUD03, 10, 01
SEAT-K02, AUD03, 10, 02
SEAT-K03, AUD03, 10, 03
SEAT-K04, AUD03, 10, 04
SEAT-K05, AUD03, 10, 05
SEAT-K06, AUD03, 10, 06
SEAT-K07, AUD03, 10, 07
SEAT-K08, AUD03, 10, 08
SEAT-K09, AUD03, 10, 09
SEAT-K10, AUD03, 10, 10
SEAT-K11, AUD03, 10, 11
SEAT-K12, AUD03, 10, 12
SEAT-K13, AUD03, 10, 13
SEAT-K14, AUD03, 10, 14
SEAT-A01, AUD04, 00, 01
SEAT-A02, AUD04, 00, 02
SEAT-A03, AUD04, 00, 03
SEAT-A04, AUD04, 00, 04
SEAT-A05, AUD04, 00, 05
SEAT-A06, AUD04, 00, 06
SEAT-A07, AUD04, 00, 07
SEAT-A08, AUD04, 00, 08
SEAT-A09, AUD04, 00, 09
SEAT-A10, AUD04, 00, 10
SEAT-A11, AUD04, 00, 11
SEAT-A12, AUD04, 00, 12
SEAT-A13, AUD04, 00, 13
SEAT-A14, AUD04, 00, 14
SEAT-A15, AUD04, 00, 15
SEAT-A16, AUD04, 00, 16
SEAT-A17, AUD04, 00, 17
SEAT-B01, AUD04, 01, 01
SEAT-B02, AUD04, 01, 02
SEAT-B03, AUD04, 01, 03
SEAT-B04, AUD04, 01, 04
SEAT-B05, AUD04, 01, 05
SEAT-B06, AUD04, 01, 06
SEAT-B07, AUD04, 01, 07
