showtime_id, movie_id, auditorium_id, date, start_time, end_time, normal_price, discounted_price, discount_id
ST0001, M001, AUD01, 12-10-2025, 0900, 1150, 24.00, 24.00, D02
ST0002, M002, AUD02, 12-10-2025, 0900, 1115, 24.00, 24.00, D02
ST0003, M004, AUD05, 12-10-2025, 1600, 1840, 35.00, 35.00, D02
ST0004, M007, AUD06, 12-10-2025, 1700, 1940, 35.00, , 
ST0005, M007, AUD01, 12-10-2025, 2100, 2340, 24.00, , 
ST0006, M009, AUD02, 12-10-2025, 2000, 2205, 24.00, , 
ST0007, M010, AUD03, 12-10-2025, 2200, 0045, 24.50, , 
ST0008, M003, AUD01, 13-10-2025, 1000, 1130, 24.00, 24.00, D02
ST0009, M003, AUD02, 13-10-2025, 2100, 2230, 24.00, 24.00, D02
ST0010, M005, AUD02, 13-10-2025, 1100, 1310, 24.00, 24.00, D02
ST0011, M006, AUD01, 13-10-2025, 1600, 1745, 24.00, 24.00, D02
ST0012, M006, AUD05, 13-10-2025, 2300, 0045, 35.00, 35.00, D02
ST0013, M008, AUD02, 13-10-2025, 1800, 1950, 24.00, , 
ST0014, M009, AUD01, 13-10-2025, 1900, 2105, 24.00, , 
ST0015, M010, AUD03, 13-10-2025, 2000, 2245, 24.50, , 
ST0016, M001, AUD01, 14-10-2025, 0900, 1150, 24.00, 24.00, D02
ST0017, M002, AUD08, 14-10-2025, 1000, 1215, 85.00, 85.00, D01
ST0018, M004, AUD05, 14-10-2025, 1000, 1240, 35.00, 35.00, D01
ST0019, M007, AUD01, 14-10-2025, 1700, 1940, 24.00, , 
ST0020, M007, AUD01, 14-10-2025, 2300, 0140, 24.00, , 
ST0021, M008, AUD02, 14-10-2025, 1900, 2050, 24.00, , 
ST0022, M009, AUD05, 14-10-2025, 2000, 2205, 35.00, , 
ST0023, M010, AUD01, 14-10-2025, 2100, 2345, 24.00, , 
ST0024, M003, AUD01, 15-10-2025, 0900, 1030, 24.00, 24.00, D03
ST0025, M005, AUD02, 15-10-2025, 0900, 1110, 24.00, 24.00, D03
ST0026, M005, AUD05, 15-10-2025, 2000, 2210, 35.00, 35.00, D03
ST0027, M006, AUD03, 15-10-2025, 1000, 1145, 24.50, 24.50, D03
ST0028, M006, AUD01, 15-10-2025, 1900, 2045, 24.00, 24.00, D03
ST0029, M007, AUD08, 15-10-2025, 1100, 1340, 85.00, 0.00, 
ST0030, M009, AUD05, 15-10-2025, 1600, 1805, 35.00, 0.00, 
ST0031, M010, AUD06, 15-10-2025, 1900, 2145, 35.00, 0.00, 
